Data_Venda,Produto,Categoria,Quantidade_Vendida,Preço,Receita,Região
2023-03-24,Laptop,Eletrônicos,49,124.45,6098.05,Norte
2023-01-22,Tablet,Eletrônicos,35,188.0,6580.0,Oeste
2023-02-11,Frutas,Alimentos,29,371.33,10768.57,Sul
2023-09-04,Camisa,Roupas,30,39.51,1185.3,Leste
2023-07-26,Camisa,Roupas,14,340.27,4763.78,Sul
2023-10-18,Frutas,Alimentos,19,169.88,3227.72,Leste
2023-11-17,Camisa,Roupas,21,276.87,5814.27,Norte
2023-03-02,Arroz,Alimentos,21,431.23,9055.83,Leste
2023-07-11,Jaqueta,Roupas,1,419.85,419.85,Oeste
2023-06-30,Arroz,Alimentos,23,490.59,11283.57,Norte
2023-07-25,Sofá,Móveis,46,476.73,21929.58,Sul
2023-11-22,Feijão,Alimentos,17,256.64,4362.88,Sul
2023-07-17,Câmera,Eletrônicos,47,278.05,13068.35,Norte
2023-01-23,Feijão,Alimentos,45,101.12,4550.400000000001,Sul
2023-10-09,Camisa,Roupas,15,477.28,7159.2,Leste
2023-08-07,Tablet,Eletrônicos,45,427.93,19256.85,Oeste
2023-04-07,Smartphone,Eletrônicos,2,384.12,768.24,Norte
2023-02-03,Boneca,Brinquedos,15,318.0,4770.0,Leste
2023-11-10,Smartphone,Eletrônicos,23,375.4,8634.199999999999,Norte
2023-09-27,Sapato,Roupas,41,174.05,7136.05,Leste
2023-03-31,Estante,Móveis,39,313.39,12222.21,Sul
2023-07-28,Calça,Roupas,21,197.24,4142.04,Oeste
2023-07-23,Laptop,Eletrônicos,47,156.95,7376.65,Leste
2023-11-16,Câmera,Eletrônicos,27,359.21,9698.67,Leste
2023-04-24,Feijão,Alimentos,2,195.33,390.66,Sul
2023-07-22,Quebra-Cabeça,Brinquedos,23,212.06,4877.38,Norte
2023-06-15,Camisa,Roupas,48,127.99,6143.5199999999995,Norte
2023-04-07,Smartphone,Eletrônicos,40,111.46,4458.4,Oeste
2023-11-14,Câmera,Eletrônicos,2,204.66,409.32,Norte
2023-04-04,Câmera,Eletrônicos,17,89.23,1516.91,Norte
2023-06-01,Sapato,Roupas,21,227.45,4776.45,Norte
2023-07-31,Camisa,Roupas,18,367.15,6608.7,Norte
2023-06-06,Carrinho,Brinquedos,17,192.32,3269.44,Sul
2023-02-16,Mesa,Móveis,20,295.73,5914.6,Leste
2023-09-28,Frutas,Alimentos,13,135.96,1767.48,Norte
2023-01-26,Cadeira,Móveis,19,52.68,1000.92,Leste
2023-12-04,Laptop,Eletrônicos,46,481.16,22133.36,Sul
2023-09-30,Quebra-Cabeça,Brinquedos,33,455.68,15037.44,Sul
2023-05-11,Cadeira,Móveis,49,162.97,7985.53,Oeste
2023-11-04,Arroz,Alimentos,26,188.0,4888.0,Leste
2023-12-22,Cadeira,Móveis,7,176.22,1233.54,Sul
2023-09-23,Boneca,Brinquedos,1,35.12,35.12,Sul
2023-05-28,Jaqueta,Roupas,39,184.92,7211.879999999999,Norte
2023-07-18,Laptop,Eletrônicos,26,109.99,2859.74,Leste
2023-03-09,Laptop,Eletrônicos,45,196.44,8839.8,Norte
2023-10-13,Boneca,Brinquedos,2,219.28,438.56,Leste
2023-03-19,Câmera,Eletrônicos,44,272.46,11988.24,Sul
2023-03-07,Jaqueta,Roupas,21,110.93,2329.53,Sul
2023-12-03,Camisa,Roupas,15,173.49,2602.3500000000004,Leste
2023-07-02,Mesa,Móveis,20,366.78,7335.599999999999,Oeste
2023-12-05,Estante,Móveis,36,214.96,7738.56,Sul
2023-07-11,Jaqueta,Roupas,46,43.54,2002.84,Norte
2023-09-03,Mesa,Móveis,12,422.63,5071.5599999999995,Sul
2023-01-19,Quebra-Cabeça,Brinquedos,7,282.19,1975.33,Oeste
2023-05-15,Sofá,Móveis,43,51.29,2205.47,Norte
2023-03-10,Arroz,Alimentos,15,220.87,3313.05,Leste
2023-01-17,Carrinho,Brinquedos,15,78.87,1183.0500000000002,Norte
2023-11-24,Camisa,Roupas,21,419.9,8817.9,Oeste
2023-01-14,Jaqueta,Roupas,35,160.07,5602.45,Norte
2023-02-03,Jaqueta,Roupas,44,55.43,2438.92,Sul
2023-08-11,Laptop,Eletrônicos,17,69.44,1180.48,Sul
2023-12-20,Arroz,Alimentos,39,304.29,11867.310000000001,Oeste
2023-01-19,Camisa,Roupas,4,295.52,1182.08,Sul
2023-05-05,Jaqueta,Roupas,10,299.94,2999.4,Norte
2023-01-08,Carne,Alimentos,12,250.0,3000.0,Leste
2023-07-31,Sapato,Roupas,36,106.8,3844.7999999999997,Oeste
2023-08-28,Cadeira,Móveis,12,258.28,3099.3599999999997,Sul
2023-06-16,Camisa,Roupas,21,77.05,1618.05,Sul
2023-10-21,Estante,Móveis,7,151.06,1057.42,Leste
2023-05-25,Blocos de Montar,Brinquedos,44,427.58,18813.52,Sul
2023-04-30,Feijão,Alimentos,24,169.06,4057.44,Sul
2023-02-08,Blocos de Montar,Brinquedos,21,147.86,3105.0600000000004,Sul
2023-12-18,Tablet,Eletrônicos,28,62.02,1736.5600000000002,Sul
2023-06-29,Estante,Móveis,27,135.12,3648.2400000000002,Sul
2023-10-06,Jaqueta,Roupas,26,238.46,6199.96,Sul
2023-10-14,Camisa,Roupas,40,418.74,16749.6,Oeste
2023-08-17,Smartphone,Eletrônicos,18,59.28,1067.04,Sul
2023-03-29,Jaqueta,Roupas,18,172.89,3112.0199999999995,Leste
2023-06-26,Boneca,Brinquedos,10,208.08,2080.8,Oeste
2023-01-13,Feijão,Alimentos,26,433.88,11280.88,Sul
2023-12-16,Câmera,Eletrônicos,19,345.74,6569.06,Sul
2023-10-07,Feijão,Alimentos,16,165.84,2653.44,Leste
2023-04-22,Camisa,Roupas,8,94.24,753.92,Norte
2023-09-16,Boneca,Brinquedos,13,165.52,2151.76,Sul
2023-04-18,Jaqueta,Roupas,12,454.05,5448.6,Leste
2023-09-15,Mesa,Móveis,37,305.57,11306.09,Norte
2023-01-16,Quebra-Cabeça,Brinquedos,26,292.08,7594.08,Sul
2023-01-05,Cadeira,Móveis,15,441.12,6616.8,Oeste
2023-06-27,Feijão,Alimentos,13,143.06,1859.78,Oeste
2023-12-21,Jaqueta,Roupas,7,382.6,2678.2000000000003,Leste
2023-04-18,Cadeira,Móveis,1,112.43,112.43,Sul
2023-08-25,Camisa,Roupas,23,169.82,3905.8599999999997,Norte
2023-05-31,Carrinho,Brinquedos,39,112.46,4385.94,Leste
2023-06-08,Frutas,Alimentos,4,420.92,1683.68,Sul
2023-12-23,Boneca,Brinquedos,44,228.45,10051.8,Norte
2023-09-01,Câmera,Eletrônicos,12,207.49,2489.88,Norte
2023-08-14,Estante,Móveis,5,488.71,2443.5499999999997,Leste
2023-03-19,Quebra-Cabeça,Brinquedos,45,341.54,15369.300000000001,Sul
2023-03-12,Feijão,Alimentos,4,317.97,1271.88,Sul
2023-05-23,Câmera,Eletrônicos,10,25.9,259.0,Norte
2023-01-04,Carrinho,Brinquedos,10,159.2,1592.0,Leste
2023-04-08,Jaqueta,Roupas,36,488.54,17587.440000000002,Oeste
2023-05-26,Cadeira,Móveis,9,436.07,3924.63,Leste
2023-09-17,Carne,Alimentos,34,380.53,12938.019999999999,Sul
2023-01-28,Carrinho,Brinquedos,45,128.85,5798.25,Leste
2023-01-01,Jaqueta,Roupas,5,151.73,758.65,Oeste
2023-06-23,Camisa,Roupas,27,434.13,11721.51,Oeste
2023-10-21,Calça,Roupas,26,302.93,7876.18,Leste
2023-08-03,Cadeira,Móveis,9,296.8,2671.2000000000003,Leste
2023-08-27,Camisa,Roupas,40,334.06,13362.4,Oeste
2023-03-21,Carne,Alimentos,24,238.77,5730.4800000000005,Sul
2023-07-14,Tablet,Eletrônicos,15,227.35,3410.25,Norte
2023-11-08,Laptop,Eletrônicos,49,64.46,3158.5399999999995,Sul
2023-09-03,Sofá,Móveis,31,118.15,3662.65,Oeste
2023-06-14,Blocos de Montar,Brinquedos,23,486.2,11182.6,Leste
2023-02-14,Quebra-Cabeça,Brinquedos,37,430.35,15922.95,Norte
2023-11-04,Calça,Roupas,36,155.95,5614.2,Sul
2023-04-27,Arroz,Alimentos,7,14.68,102.75999999999999,Oeste
2023-09-23,Sofá,Móveis,2,178.08,356.16,Sul
2023-01-10,Camisa,Roupas,39,446.66,17419.74,Norte
2023-04-02,Frutas,Alimentos,21,57.38,1204.98,Oeste
2023-02-18,Tablet,Eletrônicos,21,385.28,8090.879999999999,Sul
2023-10-23,Smartphone,Eletrônicos,31,213.06,6604.86,Norte
2023-05-21,Carne,Alimentos,36,285.35,10272.6,Leste
2023-04-18,Laptop,Eletrônicos,43,272.42,11714.060000000001,Norte
2023-08-07,Sapato,Roupas,1,394.74,394.74,Sul
2023-07-01,Blocos de Montar,Brinquedos,16,481.41,7702.56,Leste
2023-07-17,Câmera,Eletrônicos,21,294.12,6176.52,Norte
2023-10-04,Smartphone,Eletrônicos,33,499.41,16480.530000000002,Leste
2023-08-25,Arroz,Alimentos,3,367.7,1103.1,Oeste
2023-07-03,Quebra-Cabeça,Brinquedos,44,52.61,2314.84,Oeste
2023-12-03,Arroz,Alimentos,49,455.7,22329.3,Norte
2023-04-28,Boneca,Brinquedos,19,343.06,6518.14,Leste
2023-10-10,Calça,Roupas,20,396.22,7924.400000000001,Leste
2023-11-21,Sapato,Roupas,36,376.86,13566.960000000001,Sul
2023-02-05,Camisa,Roupas,7,271.33,1899.31,Sul
2023-07-23,Blocos de Montar,Brinquedos,25,428.13,10703.25,Sul
2023-06-01,Estante,Móveis,9,143.12,1288.08,Norte
2023-01-17,Boneca,Brinquedos,19,309.56,5881.64,Sul
2023-10-15,Carne,Alimentos,17,448.91,7631.47,Leste
2023-08-02,Cadeira,Móveis,28,247.24,6922.72,Leste
2023-08-01,Carne,Alimentos,12,355.69,4268.28,Norte
2023-11-11,Smartphone,Eletrônicos,10,137.82,1378.1999999999998,Norte
2023-01-27,Mesa,Móveis,48,483.81,23222.88,Sul
2023-03-23,Mesa,Móveis,39,437.53,17063.67,Leste
2023-11-23,Estante,Móveis,31,361.83,11216.73,Sul
2023-07-20,Mesa,Móveis,38,138.62,5267.56,Oeste
2023-06-07,Carne,Alimentos,5,261.84,1309.1999999999998,Sul
2023-07-13,Sofá,Móveis,25,445.62,11140.5,Oeste
2023-06-15,Feijão,Alimentos,31,144.0,4464.0,Sul
2023-07-04,Sofá,Móveis,25,183.2,4580.0,Oeste
2023-12-24,Mesa,Móveis,44,104.21,4585.24,Norte
2023-04-18,Estante,Móveis,18,391.89,7054.0199999999995,Leste
2023-09-09,Camisa,Roupas,7,343.83,2406.81,Oeste
2023-02-14,Carne,Alimentos,34,41.41,1407.9399999999998,Leste
2023-03-19,Sapato,Roupas,34,422.39,14361.26,Sul
2023-08-02,Camisa,Roupas,32,116.62,3731.84,Sul
2023-05-25,Sapato,Roupas,12,246.94,2963.2799999999997,Leste
2023-03-29,Blocos de Montar,Brinquedos,4,53.89,215.56,Sul
2023-08-07,Câmera,Eletrônicos,19,211.46,4017.7400000000002,Sul
2023-06-01,Quebra-Cabeça,Brinquedos,24,434.45,10426.8,Norte
2023-06-17,Carne,Alimentos,4,128.41,513.64,Leste
2023-11-20,Carne,Alimentos,44,221.79,9758.76,Oeste
2023-08-29,Quebra-Cabeça,Brinquedos,17,99.6,1693.1999999999998,Sul
2023-06-29,Arroz,Alimentos,2,14.82,29.64,Norte
2023-01-22,Jaqueta,Roupas,43,434.45,18681.35,Oeste
2023-08-04,Carne,Alimentos,35,409.89,14346.15,Leste
2023-11-09,Blocos de Montar,Brinquedos,39,35.76,1394.6399999999999,Leste
2023-12-19,Carrinho,Brinquedos,13,458.4,5959.2,Oeste
2023-02-04,Câmera,Eletrônicos,16,288.96,4623.36,Sul
2023-11-23,Frutas,Alimentos,26,293.86,7640.360000000001,Norte
2023-03-08,Blocos de Montar,Brinquedos,42,360.09,15123.779999999999,Sul
2023-10-24,Arroz,Alimentos,45,162.02,7290.900000000001,Leste
2023-07-18,Cadeira,Móveis,16,237.35,3797.6,Sul
2023-04-01,Smartphone,Eletrônicos,6,356.73,2140.38,Leste
2023-09-09,Jaqueta,Roupas,20,65.84,1316.8000000000002,Sul
2023-10-16,Smartphone,Eletrônicos,37,384.74,14235.380000000001,Oeste
2023-10-20,Sapato,Roupas,39,413.64,16131.96,Norte
2023-05-03,Carne,Alimentos,10,139.91,1399.1,Oeste
2023-12-24,Mesa,Móveis,33,60.58,1999.1399999999999,Leste
2023-06-18,Feijão,Alimentos,2,268.81,537.62,Oeste
2023-10-28,Arroz,Alimentos,28,435.32,12188.96,Leste
2023-05-08,Estante,Móveis,27,164.71,4447.17,Norte
2023-08-14,Sapato,Roupas,38,199.48,7580.24,Norte
2023-05-27,Quebra-Cabeça,Brinquedos,26,258.43,6719.18,Oeste
2023-01-03,Câmera,Eletrônicos,39,498.86,19455.54,Norte
2023-07-22,Blocos de Montar,Brinquedos,33,499.12,16470.96,Leste
2023-02-15,Arroz,Alimentos,39,487.48,19011.72,Norte
2023-05-03,Sapato,Roupas,11,343.67,3780.3700000000003,Oeste
2023-04-13,Tablet,Eletrônicos,35,328.59,11500.65,Leste
2023-07-10,Smartphone,Eletrônicos,38,298.3,11335.4,Leste
2023-03-10,Feijão,Alimentos,44,300.42,13218.480000000001,Sul
2023-01-10,Laptop,Eletrônicos,38,464.99,17669.62,Sul
2023-11-22,Jaqueta,Roupas,21,42.37,889.77,Oeste
2023-07-08,Tablet,Eletrônicos,5,184.09,920.45,Sul
2023-01-26,Carrinho,Brinquedos,38,160.4,6095.2,Sul
2023-09-16,Boneca,Brinquedos,16,29.5,472.0,Leste
2023-11-07,Sofá,Móveis,13,230.03,2990.39,Leste
2023-07-05,Arroz,Alimentos,27,412.42,11135.34,Sul
2023-09-21,Feijão,Alimentos,25,439.79,10994.75,Sul
2023-12-07,Smartphone,Eletrônicos,38,59.92,2276.96,Leste
2023-09-06,Estante,Móveis,46,224.64,10333.439999999999,Sul
2023-10-12,Blocos de Montar,Brinquedos,15,345.06,5175.9,Norte
2023-08-20,Estante,Móveis,37,37.93,1403.41,Norte
2023-06-08,Blocos de Montar,Brinquedos,28,63.65,1782.2,Sul
2023-04-01,Carrinho,Brinquedos,9,149.19,1342.71,Norte
2023-08-08,Boneca,Brinquedos,49,316.57,15511.93,Norte
2023-12-27,Carrinho,Brinquedos,7,347.81,2434.67,Sul
2023-05-09,Feijão,Alimentos,2,341.34,682.68,Sul
2023-03-08,Calça,Roupas,25,61.77,1544.25,Oeste
2023-03-23,Boneca,Brinquedos,2,44.69,89.38,Sul
2023-01-24,Jaqueta,Roupas,37,253.64,9384.68,Sul
2023-04-27,Cadeira,Móveis,17,221.67,3768.39,Norte
2023-02-15,Cadeira,Móveis,41,91.59,3755.19,Sul
2023-11-29,Frutas,Alimentos,44,33.56,1476.64,Sul
2023-01-28,Câmera,Eletrônicos,10,381.9,3819.0,Leste
2023-08-31,Estante,Móveis,16,379.32,6069.12,Oeste
2023-04-25,Laptop,Eletrônicos,1,379.87,379.87,Leste
2023-03-16,Sofá,Móveis,35,91.06,3187.1,Norte
2023-08-03,Calça,Roupas,41,183.73,7532.929999999999,Leste
2023-01-26,Carne,Alimentos,12,140.19,1682.28,Leste
2023-05-12,Smartphone,Eletrônicos,15,110.75,1661.25,Oeste
2023-11-29,Mesa,Móveis,36,103.21,3715.56,Norte
2023-11-06,Câmera,Eletrônicos,35,158.83,5559.05,Oeste
2023-03-24,Cadeira,Móveis,25,262.24,6556.0,Leste
2023-04-19,Smartphone,Eletrônicos,22,231.66,5096.5199999999995,Oeste
2023-10-19,Cadeira,Móveis,36,91.76,3303.36,Norte
2023-01-22,Cadeira,Móveis,16,331.35,5301.6,Sul
2023-02-08,Camisa,Roupas,44,318.08,13995.519999999999,Oeste
2023-07-07,Boneca,Brinquedos,21,221.18,4644.78,Sul
2023-01-02,Arroz,Alimentos,14,177.46,2484.44,Leste
2023-04-09,Estante,Móveis,14,490.18,6862.52,Sul
2023-01-02,Sapato,Roupas,47,444.65,20898.55,Sul
2023-05-20,Arroz,Alimentos,37,410.38,15184.06,Leste
2023-12-03,Quebra-Cabeça,Brinquedos,12,162.08,1944.96,Sul
2023-03-10,Calça,Roupas,10,470.84,4708.4,Oeste
2023-04-10,Boneca,Brinquedos,49,133.89,6560.61,Norte
2023-05-23,Camisa,Roupas,29,320.26,9287.539999999999,Sul
2023-08-30,Camisa,Roupas,29,156.78,4546.62,Leste
2023-09-27,Smartphone,Eletrônicos,39,125.17,4881.63,Oeste
2023-12-28,Carne,Alimentos,42,62.65,2631.2999999999997,Sul
2023-11-09,Calça,Roupas,20,411.64,8232.8,Leste
2023-02-21,Blocos de Montar,Brinquedos,14,342.65,4797.099999999999,Leste
2023-03-10,Blocos de Montar,Brinquedos,34,399.6,13586.400000000001,Oeste
2023-03-08,Carrinho,Brinquedos,32,369.83,11834.56,Sul
2023-09-10,Jaqueta,Roupas,3,109.84,329.52,Norte
2023-01-25,Laptop,Eletrônicos,3,318.54,955.6200000000001,Sul
2023-05-10,Arroz,Alimentos,44,77.49,3409.56,Leste
2023-02-16,Boneca,Brinquedos,44,68.99,3035.56,Norte
2023-02-27,Jaqueta,Roupas,13,423.04,5499.52,Sul
